英文,音标,词性,中文
hurry,/'hʌri/,v,匆忙，催促
hurt,/hɜ:t/,v,伤害，(使)伤心，危害
husband,/'hʌzbənd/,n,丈夫
I,/ai/,pron,我
ice,/ais/,n,冰
ice cream,/ais kri:m/,n,冰淇淋
ice skating,/ais ˈskeɪtɪŋ/,n,滑冰
idea,/ai'diə/,n,主意，想法
if,/if/,conj,如果，是否，无论何时
ill,/il/,adj,生病的
immediately,/i'mi:diətli/,adv,直接地，立刻，立即
important,/im'pɒ:tənt/,adj,重要的，有地位的，大量的
impossible,/im'pɒsəbl/,adj,不可能的，难以置信的，令人无法忍受的
improve,/im'pru:v/,v,改善，提高
in,/in/,adv & prep,进入，在...期间，朝里
include,/in'klu:d/,v,包括，包含
India,/'indjə/,n,印度
Indian,/'indiən/,adj & n,印度的；印度人
indoor,/'indɒ:/,adj,户内的，室内的
indoors,/'in'dɒ:z/,adv,在户内
information,/.infə'meiʃən/,n,消息，知识，通知
in front of,/in frʌnt ɒv/,prep phr,在...前面
insect,/'insekt/,n,昆虫
inside,/'in'said/,adv & prep,在里面，在...之内
instead,/in'sted/,adv,作为替代，反而
instead of,/in'sted ɒv/,prep phr,代替
instructions,/ɪnˈstrʌkʃnz/,n pl,说明，指示
instrument,/'instrumənt/,n,乐器；仪器，工具
insurance,/in'ʃurəns/,n,保险
interested,/'intristid/,adj,感兴趣的
interesting,/'intristiŋ/,adj,有趣的
international,/.intə'næʃənəl/,adj,国际的
internet,/'intənet/,n,互联网
into,/'intu:/,prep,进入，到…里面
invite,/in'vait/,v,邀请
Ireland,/'aiələnd/,n,爱尔兰
Irish,/'airiʃ/,adj & n,爱尔兰的；爱尔兰人
island,/'ailənd/,n,岛，岛屿
it,/it/,pron,它
Italian,/i'tæljən/,adj & n,意大利的；意大利人
Italy,/'itəli/,n,意大利
its,/its/,det,它的
itself,/it'self/,pron,它本身，它自己
jacket,/'dʒækit/,n,夹克，外套
jam,/dʒæm/,n,果酱；堵塞
January,/'dʒænjuəri/,n,一月
Japan,/dʒə'pæn/,n,日本
Japanese,/.dʒæpə'ni:z/,adj & n,日本的；日本人；日语
jazz,/dʒæz/,n,爵士乐
jeans,/dʒi:nz/,n pl,牛仔裤
job,/dʒɒb/,n,工作，零活，职业
join,/dʒɒin/,v,参加，加入
journalist,/'dʒɜ:nəlist/,n,新闻记者
journey,/'dʒɜ:ni/,n,旅程，旅行，行程
juice,/dʒu:s/,n,果汁；汁
July,/dʒu:'lai/,n,七月
jump,/dʒʌmp/,v,跳，跳跃
June,/dʒu:n/,n,六月
just,/dʒʌst/,adv,刚刚，正好，仅仅
keep,/ki:p/,v,保持，保存，继续不断
key,/ki:/,n,钥匙；键；答案
keyboard,/'ki:bɒ:d/,n,键盘
kick,/kik/,v,踢
kilogram,/'kiləgræm/,n,千克，公斤
kilometre,/'kiləjmi:tə(r)/,n,公里，千米
kind,/kaind/,adj & n,种类；善良的
king,/kiŋ/,n,国王，君主
kitchen,/'kitʃin/,n,厨房，全套炊具
kite,/kait/,n,风筝
knee,/ni:/,n,膝盖
knife,/naif/,n,刀，小刀
know,/nəu/,v,知道，了解，认识
Korea,/kə'riə/,n,韩国
Korean,/kə'riən/,adj & n,韩国的；韩国人；韩语
lake,/leik/,n,湖
lamp,/læmp/,n,灯
language,/'læŋgwidʒ/,n,语言
laptop,/ˈlæptɒp/,n,笔记本电脑
large,/lɑ:dʒ/,adj,大的，大量的，宽大的
last,/lɑ:st/,adj & adv,最后的；上一个
late,/leit/,adj & adv,迟的，很晚，晚的
later,/'leitə/,adv,以后，随后
laugh,/lɑ:f/,v,笑，大笑
learn,/lɜ:n/,v,学习，认识到，得知
leather,/'leðə/,n & adj,皮革
leave,/li:v/,v,离开，出发，剩下
left,/left/,"n, adj & adv",左边，左侧；左边的
left hand,/left hænd/,n,左手
leg,/leg/,n,腿
lemon,/'lemən/,n,柠檬
lemonade,/.lemə'neid/,n,柠檬水
less,/les/,"adj, det, pron & adv",少的，较少，小的
lesson,/'lesn/,n,课，课业，教训
let,/let/,v,让，允许
letter,/'letə/,n,信；字母
level,/'levl/,n,水平，水准，平地
library,/'laibrəri/,n,图书馆，藏书，库
licence,/'laisns/,n,执照，许可证，特许
lie down,/lai daun/,phr v,躺下
life,/laif/,n,生活，生命，人生
lift,/lift/,n,电梯；举起
light,/lait/,n & adj,光，灯；轻的
lights,/laits/,n pl,灯（复数）
like,/laik/,"v, prep & adv",喜欢；像，如
line,/lain/,n,线，线条；排
lion,/'laiən/,n,狮子
listen,/'lisn/,v,听，倾听，听从
listen to,/'lisn tu:/,prep phr,听
litre,/li:tə(r)/,n,升，公升
little,/'litl/,"adj, det & pron",小的，很少的，幼小的
live,/liv.laiv/,v,活着，生活；居住
living room,/'liviŋ ru:m/,n,客厅，起居室
long,/lɒŋ/,adj,长的；长久的
look,/luk/,v,看，看起来；表情
look after,/luk 'ɑ:ftə/,phr v,照顾，照看
look at,/luk æt/,phr v,看，注视
look for,/luk fɒ:/,phr v,寻找，期待
look out,/luk aut/,phr v,当心，留神
lorry,/'lɒri/,n,卡车，货车
lose,/lu:z/,v,遗失，受损失，损失
lot,/lɒt/,n,许多，大量
lots,/lɔts/,n,大量，许多，一堆
loud,/laud/,adj,大声的
love,/lʌv/,n & v,爱，热爱
lovely,/'lʌvli/,adj,可爱的，有趣的
low,/ləu/,adj,低的，消沉的，低等的
luck,/lʌk/,n,运气，幸运，好运
lucky,/'lʌki/,adj,幸运的，吉祥的，好运的
luggage,/'lʌgidʒ/,n,行李，皮箱
lunch,/lʌntʃ/,n,午餐
machine,/mə'ʃi:n/,n,机器，机械装置，机构
magazine,/.mægə'zi:n/,n,杂志
main course,/mein kɒ:s/,n,主菜
make,/meik/,v,制造，开始，安排
make up,/meik ʌp/,phr v,组成；编造；化妆
man,/mæn/,n,男人，人类，人
manager,/'mænidʒə/,n,经理
mango,/'mæŋgəu/,n,芒果
many,/'meni/,"det, adj & pron",许多的，许多
map,/mæp/,n,地图
March,/mɑ:tʃ/,n,三月
market,/'mɑ:kit/,n,市场，集市
married,/'mærid/,adj,已婚的，婚姻的
match,/mætʃ/,n,比赛；火柴；相配
mathematics,/.mæθə'mætiks/,n,数学
matter,/'mætə/,v,有关系
May,/mei/,n,五月
maybe,/'meibi:/,adv,也许，大概
me,/mi:/,pron,我
meal,/mi:l/,n,一餐，饭
mean,/mi:n/,v,意思是，意指
meat,/mi:t/,n,肉，餐，食物
mechanic,/mi'kænik/,n,机械工，技工
medicine,/'medisin/,n,药，医学，内科
meet,/mi:t/,v,遇见；会面
meeting,/'mi:tiŋ/,n,会议，会面
member,/'membə/,n,成员，会员
menu,/'menju:/,n,菜单
message,/'mesidʒ/,n,消息，通讯，讯息
metal,/'metəl/,n,金属
metre,/'mi:tə/,n,米，公尺
Mexican,/'meksikən/,adj & n,墨西哥的；墨西哥人
Mexico,/'meksikəu/,n,墨西哥
middle,/'midl/,n,中间，中央
midnight,/'midnait/,n,午夜，子夜，半夜
mile,/mail/,n,英里，很大距离
milk,/milk/,n,奶，牛奶
milkshake,/ˈmɪlkʃeɪk/,n,奶昔
million,/'miljən/,n,百万
mind,/maind/,v,介意；留心
mine,/main/,pron,我的
mineral water,/ˈminərəl ˈwɔ:tə/,n,矿泉水，矿质水
minute,/'minit. mai'nju:t/,n,分，分钟，片刻
mirror,/'mirə/,n,镜子
Miss,/mis/,n,小姐，女士
miss,/mis/,v,想念；错过；未击中
mistake,/mis'teik/,n,错误
mobile phone,/ˈməubail fəun/,n,手机
modern,/'mɒdən/,adj,现代的
moment,/'məumənt/,n,片刻，瞬间
Monday,/'mʌndi/,n,星期一
money,/'mʌni/,n,金钱，一笔款，财富
monkey,/'mʌŋki/,n,猴子
month,/mʌnθ/,n,月，月份
monthly,/'mʌnθli/,adj & adv,每月的，每月一次的
moon,/mu:n/,n,月亮，月球
more,/mɒ:/,"adj, det, pron & adv",更多的；更
morning,/'mɒ:niŋ/,n,早晨，上午
most,/məust/,"adj, det, pron & adv",大多数；最
mother,/'mʌðə/,n,母亲
motorbike,/'məjtəbaik/,n,摩托车
motorway,/'məutəwei/,n,高速公路
mountain,/'mauntin/,n,山，山脉
mouse,/maus/,n,老鼠；鼠标
mouth,/mauθ/,n,嘴，口，口腔
move,/mu:v/,v,移动；搬家；感动
MP3 player,/ˌem piː θriː 'pleiə/,n,MP3 播放器
Mr,/'mistə(r)/,n,先生，存储器回收程序，多重请求
Mrs,/'misiz/,n,太太
Ms,/miz/,n,美国微软公司，主存储器，制造系统
much,/mʌtʃ/,"adj, det, pron & adv",许多的，大量的
mummy,/'mʌmi/,n,妈妈
museum,/mju:'ziəm/,n,博物馆
music,/'mju:zik/,n,音乐，乐曲
musician,/mju:'ziʃən/,n,音乐家，乐师，作曲家
must,/mʌst/,v,必须，一定
my,/mai/,det,我的
myself,/mai'self/,pron,我自己，我亲自，我独自
name,/neim/,n,名字，名称
narrow,/'nærəu/,adj,狭窄的
national,/'næʃənəl/,adj,国家的，国立的，全国性的
nationality,/.næʃə'næləti/,n,国籍，国家，民族性
nature,/'neitʃə/,n,自然，大自然
near,/niə/,adv & prep,近的；接近
nearly,/'niəli/,adv,几乎，密切地
neck,/nek/,n,脖子，颈
need,/ni:d/,v,需要
neighbour,/'neibə/,n,邻居
nephew,/'nefju:/,n,侄子；外甥
never,/'nevə/,adv,从不，决不，不曾
new,/nju:/,adj,新的，陌生的，最近的
news,/nju:z/,n,新闻，消息
newsagent,/'nju:zeidʒənt/,n,报刊经销商
newspaper,/'nju:z.peipə/,n,报纸
New Year,/'nju:'jɜ:/,n,新年
next,/'nekst/,adj & adv,下一个的，然后，其次的
next to,/'nekst tu:/,prep,紧挨着，在…近旁
nice,/nais/,adj,美好的，令人愉快的
niece,/ni:s/,n,侄女；外甥女
night,/nait/,n,夜，夜晚，晚上
nine,/nain/,num,九
nineteen,/.nain'ti:n/,num,十九
nineteenth,/.nain'ti:nθ/,num,第十九
ninety,/'nainti/,num,九十
ninth,/nainθ/,num,第九
no,/nəu/,det & exclam,不，没有
nobody,/'nəubɒdi/,pron,无人，没有人
noisy,/'nɒizi/,adj,嘈杂的，喧闹的
none,/nʌn/,pron,没有人，无一物，并无一个
noodles,/'nu:dlz/,n pl,面条
noon,/nu:n/,n,正午，中午
no one,/nəu wʌn/,pron,没有人
normal,/'nɒ:ml/,adj,正常的，正规的，标准的
north,/nɒ:θ/,"n, adj & adv",北方；北的
North America,/nɒ:θ ə'merikə/,n,北美洲
nose,/nəuz/,n,鼻子
not,/nɒt/,adv,不，非，未
note,/nəut/,n & v,笔记；便条；注意到
notebook,/'nəutbuk/,n,笔记本
nothing,/'nʌθiŋ/,pron,没有什么，没有东西
November,/nəu'vembə/,n,十一月
now,/nau/,adv,现在，刚才，目前
nowhere,/'nəuhweə/,adv,无处，到处都无
number,/'nʌmbə/,n,数字；号码
nurse,/nɜ:s/,n,护士
occupation,/.ɒkju'peiʃən/,n,职业，工作
o'clock,/ə'klɔk/,adv,…点钟
October,/ɒk'təubə/,n,十月
of,/ɒv/,prep,的，属于
of course,/ɒv kɒ:s/,adv,当然
off,/ɒf/,adv,走开，掉，下
office,/'ɒfis/,n,办公室
often,/'ɒ:fn/,adv,经常，常常
oil,/ɒil/,n,油；石油
OK,/'əu'kei/,exclam,好的；行；可以
old,/əuld/,adj,老的，旧的，古老的
omelette,/'ɒmlit/,n,煎蛋卷，炒蛋
on,/ɒn/,prep & adv,在...之上，上去
once,/wʌns/,adv,一次，曾经，一旦
one,/wʌn/,"pron, det & num",一，任何人，一个
onion,/'ʌnjən/,n,洋葱
online,/ˌɒnˈlaɪn/,adj & adv,在线的；联网的
only,/'əunli/,adv & adj,只有，唯一的，仅仅
open,/'əupən/,adj & v,开着的；打开
opera,/'ɒpərə/,n,歌剧
opposite,/'ɒpəzit/,prep,在…对面；对面的
or,/ɒ:/,conj,或，或者
orange,/'ɒ:rindʒ/,adj & n,橙子；橙色（的）
order,/'ɒ:də/,n,顺序；命令；订购
other,/'ʌðə/,det,其他的，另外的，他人
our,/'auə/,det,我们的
ours,/'auəz/,pron,我们的
ourselves,/.auə'selvz/,pron,我们自己
out,/aut/,adv,在外；熄灭
outdoor,/'autdɒ:/,adj,户外的，屋外的，露天的
outdoors,/'aut'dɒ:z/,adv,在户外，在野外
outside,/'aut'said/,prep & adv,在外面；在…外面
over,/'əuvə/,prep & adv,在…上方；越过；结束
own,/əun/,adj,自己的，嫡亲的，同胞的
pack,/pæk/,v,包装；收拾（行李）
page,/peidʒ/,n,页，页面
pain,/pein/,n,疼痛；痛苦
paint,/peint/,v & n,油漆；绘画，涂色
painter,/'peintə/,n,画家；油漆工
pair,/peə/,n,一双，一对，一副
pancake,/'pænkeik/,n,薄煎饼
paper,/'peipə/,n & adj,纸，纸做的，文件
pardon,/'pɑ:dn/,exclam,请再说一遍；原谅
parent,/'perənt/,n,父（母）亲
park,/pɑ:k/,n & v,公园；停车
parking,/'pɑ:kiŋ/,n,停车（活动）
parrot,/'pærət/,n,鹦鹉
part,/pɑ:t/,n,部分，局部，零件
party,/'pɑ:ti/,n,宴会，党，政党
pass,/pæs/,v,经过，越过，变化
passenger,/'pæsindʒə/,n,乘客，旅客
passport,/'pæspɒ:t/,n,护照，手段，通行证
past,/pɑ:st/,prep,越过，晚于，超越
pasta,/'pæstə/,n,意大利面食
path,/pɑ:θ/,n,路径，小路，道路
pay,/pei/,v,支付，付款，付清
peach,/pi:tʃ/,n,桃子
pear,/peə/,n,梨
pen,/pen/,n,钢笔，笔，笔调
pence,/pens/,n pl,便士（penny的复数）
pencil,/'pensl/,n,铅笔，色笔，眉笔
pencil case,/'pensl keis/,n,铅笔盒
pen-friend,/'pen frend/,n,通信朋友，笔友
penny,/'peni/,n,便士
people,/'pi:pl/,n pl,人，使住满人，人民
pepper,/'pepə/,n,胡椒粉，胡椒，辣椒
per,/pɜ:/,prep,每一，通过，经
perfect,/'pɜ:fikt/,adj,完美的
perhaps,/pə'hæps/,adv,也许，大概
person,/'pɜ:sn/,n,人，人身，人称
pet,/pet/,n,宠物
petrol,/'petrəl/,n,汽油
petrol station,/ˈpetrəl ˈsteiʃən/,n,加油站
pharmacy,/'fɑ:məsi/,n,药房，药店
phone,/fəun/,v & n,电话；打电话
photo,/'fəutəu/,n,相片，照片
photographer,/fə'tɔ^rəfə/,n,摄影师
photography,/fə'tɒgrəfi/,n,摄影，摄影术
piano,/pi'ɑ:nəu/,n,钢琴
picnic,/'piknik/,n,野餐
picture,/'piktʃə/,n,图画，照片
pie,/pai/,n,馅饼；派
piece,/pi:s/,n,块，片，篇
piece of cake,/pi:s ɔv keik/,n,一块蛋糕；轻松的事
pillow,/'piləu/,n,枕头
pilot,/'pailət/,n,飞行员
pink,/piŋk/,adj,粉红色的
pity,/'piti/,n,遗憾，可惜
pizza,/'pi:tsə/,n,比萨饼
place,/pleis/,n,地方，地点
plan,/plæn/,n & v,计划；打算
plane,/plein/,n,飞机；平面
plant,/plænt. plɑ:nt/,n,植物；工厂
plastic,/'plæstik/,n & adj,塑料
plate,/pleit/,n,盘子，碟子
platform,/'plætfɒ:m/,n,站台，月台，讲台
play,/plei/,v & n,玩耍；比赛；剧本
player,/'pleiə/,n,运动员；选手；玩家
playground,/'pleigraund/,n,操场，游乐场
pleasant,/'pleznt/,adj,令人愉快的
please,/pli:z/,v & exclam,请；使高兴
p.m.,/ˌpiː ˈem/,adv,下午，午后
pocket,/'pɒkit/,n,口袋
point,/pɒint/,n & v,指，指向；要点
police,/pə'li:s/,n,警察
police car,/pə'li:s kɑ:/,n,警车
police officer,/pəˈli:s ˈɔfisə/,n,警察
police station,/pə'li:s 'steiʃən/,n,警察局，派出所
pool,/pu:l/,n,水池，泳池
poor,/puə. pɒ:/,adj,贫穷的；可怜的
pop,/pɒp/,n & adj,流行音乐；砰的一声；汽水
popular,/'pɒpjulə/,adj,通俗的，流行的，受欢迎的
possible,/'pɒsəbl/,adj,可能的，潜在的，合适的
post,/pəust/,v & n,邮政，邮件；邮寄
postcard,/'pəustkɑ:d/,n,明信片
poster,/'pəustə/,n,海报，招贴
postman,/'pəustmən/,n,邮递员
post office,/pəust 'ɒfis/,n,邮局
potato,/pə'teitəu/,n,马铃薯，土豆
pound,/paund/,n,英镑；磅
practice,/'præktis/,n,练习；实践
practise,/'præktis/,v,练习
prefer,/pri'fɜ:/,v,更喜欢
present,/'preznt/,n,礼物；现在的
pretty,/'priti/,adj,漂亮的
price,/prais/,n,价格
printer,/'printə/,n,打印机
prize,/praiz/,n,奖赏，奖品
problem,/'prɒbləm/,n,问题，难题
programme,/'prəugræm/,n,节目；程序；计划
project,/'prɒdʒekt/,n,计划，项目
pull,/pul/,v,拉，拖，拔
pupil,/'pju:pl/,n,学生
purple,/'pɜ:pl/,adj,紫色的
purse,/pɜ:s/,n,钱包
push,/puʃ/,v,推
put,/put/,v,放，摆
put on,/put ɒn/,phr v,穿上，戴上；上演
pyjamas,/pə'dʒɑ:məs/,n pl,睡衣
quarter,/'kwɒ:tə/,n,四分之一；一刻钟
queen,/'kwi:n/,n,女王，王后
question,/'kwestʃən/,n,问题
quick,/kwik/,adj,快的，迅速的
quickly,/'kwikli/,adv,快地
quiet,/'kwaiət/,adj,安静的
quite,/kwait/,adv,相当，十分
quiz,/kwiz/,n,小测验，知识竞赛
rabbit,/'ræbit/,n,兔子
race,/reis/,n & v,赛跑，比赛；种族
racket,/'rækit/,n,球拍
radio,/'reidiəu/,n,收音机；无线电
railway,/'reilwei/,n,铁路
railway station,/'reilwei 'steiʃən/,n,火车站
rain,/rein/,n & v,雨；下雨
rainbow,/'reinbəu/,n,彩虹
raincoat,/'reinkəut/,n,雨衣
rainforest,/'rein'fɔrist/,n,雨林
rainy,/'reini/,adj,下雨的；多雨的
rap,/ræp/,n,说唱音乐；轻敲
rather,/'ræðə/,adv,宁可；相当，有点
read,/ri:d/,v,读，阅读
reading,/'ri:diŋ/,n,阅读（活动）
ready,/'redi/,adj,准备好的
real,/'riəl/,adj,真的，真实的
really,/'riəli/,adv,确实，真的
receptionist,/ri'sepʃənist/,n,接待员
red,/red/,adj,红色的
reggae,"/'re,^ei/",n,雷鬼音乐
remember,/ri'membə/,v,记得，记住
rent,/rent/,v,租用；出租
repair,/ri'peə/,v,修理，修补
rest,/rest/,n & v,休息；其余
restaurant,/'restərɒŋ/,n,餐馆，饭店
return,/ri'tɜ:n/,n & v,回来，返回；归还
rice,/rais/,n,米，米饭
rich,/ri:tʃ/,adj,富裕的；丰富的
ride,/raid/,n & v,骑，乘坐
riding,/'raidiŋ/,n,骑马（活动）
right,/rait/,"n, adj & adv",正确的；右边的；右边
river,/'rivə/,n,河，江
road,/rəud/,n,路，道路
roast,/rəust/,v & adj,烤，炙
rock,/rɒk/,n,岩石；摇滚乐
roof,/ru:f/,n,屋顶
room,/ru:m/,n,房间；空间
round,/raund/,adj,圆的；球形的
roundabout,/'raundə.baut/,n,环岛，环形交叉口
rubber,/'rʌbə/,n,橡皮
ruler,/'ru:lə/,n,尺子
run,/rʌn/,v,跑，奔跑；经营
Russia,/'rʌʃə/,n,俄罗斯
Russian,/'rʌʃən/,adj & n,俄罗斯的；俄罗斯人；俄语
sad,/sæd/,adj,伤心的，难过的
safe,/seif/,adj,安全的
sail,/seil/,v,航行；帆
sailing,/'seiliŋ/,n,航行，航海术，启航
salad,/'sæləd/,n,色拉，沙拉
sale,/seil/,n,出售；大减价
salt,/sɒ:lt/,n,盐
same,/seim/,adj & pron,相同的，相同的人(或事物)，同样的
sandwich,/'sændwitʃ/,n,三明治
Saturday,/'sætədi/,n,星期六
sausage,/'sɒsidʒ/,n,香肠
save,/seiv/,v,救；储蓄；节省
say,/sei/,v,说，讲
scarf,/skɑ:f/,n,围巾
school,/sku:l/,n,学校
schoolbag,/'sku:lbæ^/,n,书包
science,/'saiəns/,n,科学
scissors,/'sizəz/,n pl,剪刀
scooter,/'sku:tə/,n,小型摩托车，踏板车
score,/skɒ:/,n & v,得分；分数
screen,/skri:n/,n,屏幕；银幕
sea,/si:/,n,大海，海洋
season,/'si:zn/,n,季节
seat,/si:t/,n,座位
second,/'sekənd/,n & adj,第二（的）；秒
secretary,/'sekrətəri/,n,秘书
see,/si:/,v,看见；明白
sell,/sel/,v,卖，出售
send,/send/,v,发送；寄
sentence,/'sentəns/,n,句子
September,/sep'tembə/,n,九月
seven,/'sevn/,num,七
seventeen,/sevn'ti:n/,num,十七
seventeenth,/sevn'ti:nθ/,num,第十七
seventh,/'sevnθ/,num,第七
seventy,/'sevnti/,num,七十
several,/'sevərəl/,det & adj,几个，一些
shall,/ʃæl/,v,将要
shampoo,/ʃæm'pu:/,v & n,洗发水；洗头发
sharpener,/'ʃɑ:pnə/,n,卷笔刀
she,/ʃi:/,pron,她
sheet,/ʃi:t/,n,床单；一张纸
shelf,/ʃelf/,n,架子，搁板
ship,/ʃip/,n,船，舰
shirt,/ʃɜ:t/,n,衬衫
shoe,/ʃu:/,n,鞋
shoes,/ʃu:z/,n pl,鞋
shop,/ʃɒp/,n & v,商店；购物
shop assistant,/ʃɔp əˈsistənt/,n,店员
shopper,/'ʃɒpə/,n,购物者
shopping,/'ʃɒpiŋ/,n,购物
short,/ʃɒ:t/,adj,短的；矮的
shorts,/ʃɔ:ts/,n pl,短裤
should,/ʃud/,v,应该
shoulder,/'ʃəuldə/,n,肩膀
shout,/ʃaut/,v,高喊，呼喊
show,/ʃəu/,v & n,展示；演出；节目
shower,/'ʃauə/,n,阵雨；淋浴
shut,/ʃʌʃ/,v,关上
sick,/sik/,adj,有病的；恶心的
side,/said/,n,旁边；面，侧面
silver,/'silvə/,n & adj,银；银色的
simple,/'simpl/,adj,简单的
since,/sins/,prep,自...以后，自...以来
sincerely,/sin'siəli/,adv,真诚地
sing,/siŋ/,v,唱，唱歌
singer,/'siŋə/,n,歌手
single,/'siŋgl/,adj,单身的；单一的
sister,/'sistə/,n,姐妹
sit,/sit/,v,坐
sit down,/sit daun/,phr v,坐下
sitting room,/'sitiŋ ru:m/,n,起居室
six,/siks/,num,六
sixteen,/'siks'ti:n/,num,十六
sixteenth,/'siks'ti:nθ/,num,第十六
sixth,/siksθ/,num,第六
sixty,/'siksti/,num,六十
size,/saiz/,n,大小，尺寸
skate,/skeit/,v,滑冰，滑旱冰
skateboard,/'skeitbɔ:d/,n,滑板
skating,/'skeitiŋ/,n,滑冰（活动）
ski,/ski:/,v,滑雪
skiing,/'ski:iŋ/,n,滑雪（运动）
skirt,/skɜ:t/,n,短裙，裙子
sky,/skai/,n,天空
sleep,/sli:p/,v,睡，睡觉
sleepy,/'sli:pi/,adj,困的；想睡的
slice,/slais/,n,薄的切片，一部分，菜刀
slow,/sləu/,adj,慢的
slowly,/'sləuli/,adv,慢地
small,/smɒ:l/,adj,小的
smile,/smail/,n & v,微笑；笑容
smoke,/sməuk/,v,吸烟；烟
snack,/snæk/,n,小吃，点心
snake,/sneik/,n,蛇
snow,/snəu/,n & v,雪；下雪
snowboard,/'snəubɔ:d/,n,滑雪板
snowboarding,/ˈsnəʊbɔ:dɪŋ/,n,单板滑雪，滑板滑雪，滑雪板
snowy,/'snəui/,adj,下雪的；多雪的
so,/səu/,conj & adv,所以，如此，因此
soap,/səup/,n,肥皂
sock,/sɒk/,n,短袜
sofa,/'səufə/,n,沙发
soft,/sɒft/,adj,软的，温和的，柔和的
some,/sʌm/,det & pron,一些，若干
somebody,/'sʌmbɒdi/,pron,有人，某人
someone,/'sʌmwʌn/,pron,有人，某人
something,/'sʌmθiŋ/,pron,某事，某物
sometimes,/'sʌmtaimz/,adv,有时
somewhere,/'sʌmhweə/,adv,某处
son,/sʌn/,n,儿子
song,/sɒŋ/,n,歌曲
soon,/su:n/,adv,不久，很快
sorry,/'sɒri/,adj,难过的；抱歉的
sound,/saund/,v,声音；听起来
soup,/su:p/,n,汤
south,/sauθ/,"n, adj & adv",南方；南的
South America,/sauθ ə'merikə/,n,南美洲
space,/speis/,n,空间；太空
Spain,/spein/,n,西班牙
Spanish,/'spæniʃ/,adj & n,西班牙的；西班牙人；西班牙语
speak,/spi:k/,v,说，讲（某种语言）
special,/'speʃəl/,adj,特别的
spell,/spel/,v,拼写
spend,/spend/,v,花费；度过
spoon,/spu:n/,n,勺子，汤匙
sport,/spɒ:t/,n,运动
sports centre,/spɔ:ts ˈsentə/,n,体育中心，运动馆
spring,/spriŋ/,n,春天，弹簧，跳跃
square,/skweə/,n & adj,正方形；广场
stadium,/'steidiəm/,n,体育场
staff,/stɑ:f/,n,全体职员
stage,/steidʒ/,n,舞台；阶段
stairs,/steəz/,n pl,楼梯
stamp,/stæmp/,n,邮票；印章
stand,/stænd/,v,站，站立；忍受
star,/stɑ:/,n & v,星，恒星；明星
start,/stɑ:t/,v,开始，启动
station,/'steiʃən/,n,车站
stay,/stei/,v,停留，逗留；保持
steak,/steik/,n,牛排，肉排
steal,/sti:l/,v,偷，窃取
still,/stil/,adv,仍然
stomach,/'stʌmək/,n,胃，肚子
stop,/stɒp/,n & v,停止；车站
store,/stɒ:/,n,商店；储存
storm,/stɒ:m/,n,暴风雨
stormy,/'stɒ:mi/,adj,有暴风雨的
story,/'stɒ:ri/,n,故事，小说
straight,/streit/,adj,直的；笔直地
straight on,/streit ɒn/,adv,一直向前
strange,/streindʒ/,adj,奇怪的；陌生的
strawberry,/'strɒ:bəri/,n,草莓
street,/stri:t/,n,街道
strong,/strɒŋ/,adj,强壮的；坚固的
student,/'stju:dnt/,n,学生
studies,/'stʌdiz/,n pl,学习，学业
study,/'stʌdi/,v,学习；研究
subject,/'sʌbdʒekt/,n,科目，学科；主题
success,/sək'ses/,n,成功，成就
such,/sʌtʃ/,det & adj,如此的，这样的
suddenly,/'sʌdənli/,adv,突然
sugar,/'ʃugə/,n,糖
suit,/sju:t. su:t/,n,西装，套装；适合
suitcase,/'sju:tkeis/,n,手提箱
summer,/'sʌmə/,n,夏季，夏天
sun,/sʌn/,n,太阳，阳光
Sunday,/'sʌndi/,n,星期日
sunny,/'sʌni/,adj,阳光充足的
supermarket,/'sju:pəmɑ:kit/,n,超级市场，超市
supper,/'sʌpə/,n,晚餐
suppose,/sə'pəuz/,v,推想，认为
sure,/ʃuə/,adj,确信的，肯定的
surfboard,/'sɜ:fbɒ:d/,n,冲浪板，用冲浪板滑水
surfboarding,/ˈsɜ:fbɔ:dɪŋ/,n,冲浪板运动
surfing,/'sɜ:fiŋ/,n,冲浪运动
surname,/'sɜ:neim/,n,姓，别号，绰号
surprise,/sə'praiz/,n,惊奇，惊讶；惊喜
surprised,/sə'praizd/,adj,感到惊讶的
sweater,/'swetə/,n,毛衣，毛线衫
sweet,/swi:t/,n & adj,糖果；甜的
swim,/swim/,v,游泳
swimming,/'swimiŋ/,n,游泳（活动）
swimming costume,/'swimiŋ 'kɒstju:m/,n,泳衣
swimming pool,/ˈswɪmɪŋ pu:l/,n,游泳池
table,/'teibl/,n,桌子；表格
table-tennis,/'teɪbəl tenɪs/,n,乒乓球
take,/teik/,v,拿，取；带走
take off,/teik ɒf/,phr v,脱下；起飞
talk,/tɒ:k/,n & v,谈话，交谈
tall,/tɒ:l/,adj,高的
taxi,/'tæksi/,n,出租车，计程车
tea,/ti:/,n,茶；茶叶
teach,/ti:tʃ/,v,教，讲授
teacher,/'ti:tʃə/,n,教师
team,/ti:m/,n,队，组
teenager,/'ti:nidʒə/,n,青少年（13-19岁）
telephone,/'telifəun/,n & v,电话；打电话
television,/'teli.viʒən/,n,电视
tell,/tel/,v,告诉；吩咐
temperature,/'temprətʃə/,n,温度；体温
ten,/ten/,num,十
tennis,/'tenis/,n,网球
tennis player,/ˈtenis ˈpleɪə/,n,网球运动员
tent,/tent/,n,帐篷
