id,sentence_en,sentence_zh,grammar,new_words,phrases,review_note,covered_ids
36,"Today he is sitting at the table, answering an email — a good way to talk with people! Every question is a good exercise.",今天他坐在桌边回复一封邮件——这是和人交流的好方法！每个问题都是一次好练习。,现在进行时 is sitting / answering 描述正在做的事；every + 单数名词表示“每一个”。,table|/'teɪbl/|n.|桌子; today|/tə'deɪ/|adv. & n.|在今天；今天; email|/'iːmeɪl/|n. & v.|电子邮件；（给某人）发电子邮件; answer|/'ɑːnsə(r)/|v. & n.|回答；答复；答案; question|/'kwestʃən/|n.|问题; exercise|/'eksəsaɪz/|n. & v.|运动；锻炼；练习; way|/weɪ/|n.|方式；道路,at the table|在桌边; answer an email|回复邮件; a good way|一个好方法,"今日回读：请重新朗读背诵第 35、34、32、29、21、6 天的句子。重现旧词：he, sit, at, every, good, is, a, and。重现旧词：he, sit（sitting）, at, every, good, is, a。","246,247,248,249,250,251,252"
37,"Why do they like the library best? Because it is clean, and their dear teacher tells them about interesting animals.",他们为什么最喜欢图书馆？因为那里干净，而且他们亲爱的老师在那里给他们讲有趣的动物。,why 提问原因，because 回答原因；like...best 表示“最喜欢”；tell sb about sth 表示“告诉某人某事”。,clean|/kliːn/|adj. & v.|干净的；使……干净；打扫; best|/best/|adj. & adv.|最好的；最; because|/bɪ'kɒz/|conj.|因为; why|/waɪ/|adv.|为什么; dear|/dɪə(r)/|adj.|亲爱的; tell|/tel/|v.|告诉; interesting|/'ɪntrəstɪŋ/|adj.|有趣的,like...best|最喜欢……; tell them about|告诉他们关于……,"今日回读：请重新朗读背诵第 36、35、33、30、22、7 天的句子。重现旧词：library（S34 新词）, they, like, do, teacher, about, animal, their。","253,254,255,256,257,258,259"
38,"Maths is a hard subject, and PE is difficult too, but they are sure they can learn them well.",数学是一门很难的学科，体育（飞行）课也不容易，但他们确信自己能把它们学好。,be sure (that) + 从句表示“确信……”；hard 和 difficult 都表示“困难的”；can 后接动词原形。,"subject|/'sʌbdʒɪkt/|n.|学科；科目; learn|/lɜːn/|v.|学习；得知; maths|/mæθs/ (= mathematics /ˌmæθə'mætɪks/, math /mæθ/)|n.|数学; PE|/ˌpiː 'iː/ (= physical /'fɪzɪkl/ education /ˌedʒu'keɪʃn/)|n.|体育; hard|/hɑːd/|adj. & adv.|困难的；努力地; difficult|/'dɪfɪkəlt/|adj.|困难的; sure|/ʃʊə(r)/|adv.|当然；一定",be sure|确信; learn them well|把它们学好,"今日回读：请重新朗读背诵第 37、36、34、31、23、8 天的句子。重现旧词：too, but（S31 新词）, can, well, they, is, a, and。","260,261,262,263,264,265,266"
39,"Her idea is easy to use: draw a map, give it to him, and they walk and travel home.",她的主意用起来很简单：画一张地图，把它给他，然后他们就能步行远行回家。,"It is + 形容词 + to do 句型；祈使句以动词原形开头（draw, give）；give sth to sb 中 sb 用宾格。",easy|/'iːzi/|adj.|容易的; use|/juːz/; /juːs/|v. & n.|使用；利用；使用；用途; give|/ɡɪv/|v.|给；送给；供给; idea|/aɪ'dɪə/|n.|想法；主意; draw|/drɔː/|v.|画画; travel|/'trævl/|v. & n.|旅行；游历; walk|/wɔːk/|v. & n.|行走；步行,easy to use|容易使用; draw a map|画一张地图; give it to him|把它给他,"今日回读：请重新朗读背诵第 38、37、35、32、24、9 天的句子。重现旧词：her, map（S35 新词）, him（S33 新词）, home, it, they, and。","267,268,269,270,271,272,273"
40,"In the afternoon they are working hard; sometimes they feel busy, and then Miss comes to help them.",下午他们正努力学习；有时觉得忙碌，这时老师就来帮助他们。,现在进行时 are working；sometimes 表示“有时”；then 表示“然后”；help 后接宾格 them。,afternoon|/ˌɑːftə'nuːn/|n.|下午; then|/ðen/|adv.|那时；然后；那么; Miss|/mɪs/||（对未婚女子的礼貌称呼）小姐；女士; work|/wɜːk/|v. & n.|工作; sometimes|/'sʌmtaɪmz/|adv.|有时; feel|/fiːl/|v.|感觉；觉得; busy|/'bɪzi/|adj.|忙碌的；无暇的,in the afternoon|在下午; feel busy|感到忙碌; help them|帮助他们,"今日回读：请重新朗读背诵第 39、38、36、33、25、10 天的句子。重现旧词：hard（S38 新词）, come, help（S33 新词）, they, in, the, and。","274,275,276,277,278,279,280"
41,"Right, at Hogwarts Harry can study, sing a song, swim, run and go out to play.",对，在霍格沃茨，哈利会学习、唱歌、游泳、跑步，还能出去玩。,can + 动词原形表示“会做某事”；多个动作并列时，最后两个用 and 连接；go out 表示“出去、出去玩”。,study|/'stʌdi/|v. & n.|学习；研究; song|/sɒŋ/|n.|歌曲; out|/aʊt/|adv. & prep.|（从……里）出来；出去; sing|/sɪŋ/|v.|唱歌; right|/raɪt/|interj. & adj. & n. & adv.|对吗；正确的；适当的；右边；向右边; swim|/swɪm/|v. & n.|游泳; run|/rʌn/|v. & n.|跑；跑步,go out|出去；出去玩; sing a song|唱歌,今日回读：请重新朗读背诵第 40、39、37、34、26、11 天的句子。自然重现旧词 can、play、go、and；句首 Right 表示“对、没错”。,"281,282,283,284,285,286,287"
42,"We watch Hedwig fly fast, Hermione dance, and Hagrid cook fish and make a cake.",我们看海德薇飞得飞快，看赫敏跳舞，还看海格做鱼和蛋糕。,watch + 人或动物 + 动词原形，表示“看……做某事”；fast 在这里作副词，修饰 fly，表示“飞得快”；蛋糕要说 make a cake，不说 cook a cake。,fast|/fɑːst/|adv. & adj.|快地；快的; dance|/dɑːns/|v. & n.|跳舞; fish|/fɪʃ/|n. & v.|鱼；鱼肉；钓鱼; fly|/flaɪ/|v.|飞; watch|/wɒtʃ/|v. & n.|注视；观看；表；手表; cake|/keɪk/|n.|蛋糕; cook|/kʊk/|v. & n.|做饭；厨师,fly fast|飞得飞快; cook fish|做鱼; make a cake|做蛋糕,今日回读：请重新朗读背诵第 41、40、38、35、27、12 天的句子。自然重现旧词 we、and；巩固 watch sb do sth 句型；cake 在第 47、49、50 天还会复现。,"288,289,290,291,292,293,294"
43,"The park is open — we visit it, take bird photos, have noodles and listen to Hagrid's story.",公园开放了——我们去逛公园、拍小鸟的照片、吃面条，还听海格的故事。,open 在这里是形容词“开放的”，作表语（The park is open）；take photos 拍照；listen to 听。,story|/'stɔːri/|n.|故事; noodle|/'nuːdl/|n.|(usually pl.) 面条; open|/'əʊpən/|v. & adj.|打开；开放的；敞开的; bird|/bɜːd/|n.|鸟; take|/teɪk/|v.|拍照；拿；取；买下; visit|/'vɪzɪt/|v. & n.|参观；拜访; park|/pɑːk/|n.|公园,take photos|拍照; listen to a story|听故事,今日回读：请重新朗读背诵第 42、41、39、36、28、13 天的句子。自然重现旧词 we、have、listen(to)、photo、and；noodles 常用复数形式。,"295,296,297,298,299,300,301"
44,"When do we get dressed? At 7 o'clock. We have breakfast at half past 7, then write and share stories.",我们什么时候穿衣服？7 点钟。我们 7 点半吃早餐，然后写故事、互相分享。,When do we ...? 用来问“我们什么时候做某事”；穿衣服说 get dressed；整点说 at 7 o'clock；半点说 half past 7（7 点半）。,when|/wen/|adv.|什么时候; write|/raɪt/|v.|写; share|/ʃeə(r)/|v.|分享；合用；分担; o'clock|/ə'klɒk/|adv.|（表示整点）……点钟; half|/hɑːf/|n. & pron.|一半；半；半数; dress|/dres/|v. & n.|穿衣服；连衣裙; breakfast|/'brekfəst/|n.|早餐,get dressed|穿衣服; have breakfast|吃早餐; half past 7|七点半,今日回读：请重新朗读背诵第 43、42、40、37、29、14 天的句子。重现昨日新词 story（复数 stories）与旧词 have、then、we；时间用数字表达，为第 49-50 天的数词做铺垫。,"302,303,304,305,306,307,308"
45,Harry gets up early and asks: 'Does the film begin before lunch? Can we have dinner after it?',哈利起得很早，问道：“电影在午餐前开始吗？我们可以在电影结束后吃晚饭吗？”,before 在……之前、after 在……之后，是一对反义词；begin 表示“开始”；一般疑问句借助 does 提问，动词用原形。,before|/bɪ'fɔː(r)/|prep. & conj. & adv.|在……以前；以前; begin|/bɪ'ɡɪn/|v.|开始; dinner|/'dɪnə(r)/|n.|正餐；主餐; early|/'ɜːli/|adj. & adv.|早的；早期的；提前；在早期; ask|/ɑːsk/|v.|询问；请求; lunch|/lʌntʃ/|n.|午餐; film|/fɪlm/|n.|电影,get up|起床; have dinner|吃晚饭; begin before lunch|在午餐前开始,今日回读：请重新朗读背诵第 44、43、41、38、30、15 天的句子。本句还重现旧词 get up、can、have、after。,"309,310,311,312,313,314,315"
46,"Harry has a lesson on the ice for an hour — 60 minutes! This month, he gets a birthday gift after it.",哈利在冰上上课，一节课一小时——60 分钟！这个月，他在课后收到一份生日礼物。,hour 是“小时”，minute 是“分钟”，一小时有 60 分钟；after + 名词/代词表示“在……之后”（after it＝在那之后）。,minute|/'mɪnɪt/|n.|分；分钟; lesson|/'lesn/|n.|课；一节课; ice|/aɪs/|n.|冰；冰块; hour|/'aʊə(r)/|n.|小时; birthday|/'bɜːθdeɪ/|n.|生日; month|/mʌnθ/|n.|月份; gift|/ɡɪft/|n.|礼物,birthday gift|生日礼物; on the ice|在冰上,今日回读：请重新朗读背诵第 45、44、42、39、31、16 天的句子。自然重现旧词 this、after、has、get(gets)；birthday 在第 47-50 天的派对场景继续复现。,"316,317,318,319,320,321,322"
47,A kind woman at the shop will help Hermione buy eggs and candles for the party.,商店里一位好心的女士会帮赫敏为派对买鸡蛋和蜡烛。,will + 动词原形表示“将要做某事”；help sb do sth 帮助某人做某事；buy sth for ... 为……买某物。,party|/'pɑːti/|n.|聚会; buy|/baɪ/|v.|买; shop|/ʃɒp/|n. & v.|商店；逛商店；在商店购物; woman|/'wʊmən/|n.|(pl. women /'wɪmɪn/) 女人; candle|/'kændl/|n.|蜡烛; will|/wɪl/|modal v.|将要；会; egg|/eɡ/|n.|蛋,buy eggs and candles|买鸡蛋和蜡烛; at the shop|在商店,今日回读：请重新朗读背诵第 46、45、43、40、32、17 天的句子。自然重现旧词 kind、help、at、for、and；句型 help sb do sth 呼应第 42 天 watch sb do sth。,"323,324,325,326,327,328,329"
48,"Ron writes on the card: 'Dear Mrs Weasley, thank you for the milk, juice, candy, drink and doll.'",罗恩在卡片上写道：“亲爱的韦斯莱夫人，谢谢您的牛奶、果汁、糖果、饮料和玩偶。”,写卡片常用“Dear + 称呼”开头，Mrs 用在已婚女子的姓氏前（Mrs Weasley＝韦斯莱夫人）；thank you for + 名词表示“为……而感谢”；多个名词并列时，最后两个用 and 连接。,juice|/dʒuːs/|n.|果汁; milk|/mɪlk/|n.|牛奶; candy|/'kændi/|n.|糖果; drink|/drɪŋk/|n. & v.|饮品；喝; card|/kɑːd/|n.|厚纸片；卡片; doll|/dɒl/|n.|玩偶；玩具娃娃; Mrs|/'mɪsɪz/||（对已婚妇女的礼貌称呼）夫人；太太,thank you for|为……而感谢; write on the card|在卡片上写字,今日回读：请重新朗读背诵第 47、46、44、41、33、18 天的句子。重现第 44 天新词 write（三单 writes）与旧词 dear、thank you、for、on；承接第 47 天商店场景。,"330,331,332,333,334,335,336"
49,"Harry hears the door open. A nurse comes in with a cake from Hagrid — one, two! Make a wish and eat!",哈利听到门开了。一位护士拿着海格送的蛋糕走进来——一、二！许个愿，吃吧！,祈使句直接用动词原形开头，如 make、eat；hear 表示“听到”，hear + 宾语 + 动词原形表示“听到……做某事”（hears the door open）；one、two 是数词，用来数数。,eat|/iːt/|v.|吃; wish|/wɪʃ/|v. & n.|希望；祝愿；愿望; nurse|/nɜːs/|n.|护士; hear|/hɪə(r)/|v.|听到; door|/dɔː(r)/|n.|门; one|/wʌn/|num.|一; two|/tuː/|num.|二,make a wish|许愿; come in|进来,今日回读：请重新朗读背诵第 48、47、45、42、34、19 天的句子。自然重现旧词 cake、come(comes)、with、make、and；数词 one、two 为第 50 天的 three-nine 做铺垫。,"337,338,339,340,341,342,343"
50,"Look at the cake: three, four, five, six, seven, eight, nine candles — happy birthday, Harry!",看那个蛋糕：三、四、五、六、七、八、九根蜡烛——生日快乐，哈利！,数词 three 到 nine 用来数数；candle 是可数名词，多根蜡烛用复数 candles；Happy birthday! 是生日祝福语。,three|/θriː/|num.|三; four|/fɔː(r)/|num.|四; five|/faɪv/|num.|五; six|/sɪks/|num.|六; seven|/'sevn/|num.|七; eight|/eɪt/|num.|八; nine|/naɪn/|num.|九,happy birthday|生日快乐; look at|看,今日回读：请重新朗读背诵第 49、48、46、43、35、20 天的句子。重现第 47 天新词 candle（复数 candles）、第 46 天 birthday、第 42 天 cake 与旧词 look at、happy。,"344,345,346,347,348,349,350"
51,"Ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen candles are on the table for the party!",十、十一、十二、十三、十四、十五、十六根蜡烛摆在桌上，是派对用的！,基数词 ten 到 sixteen 表示数量，放在名词前；thirteen 到 sixteen 都以 -teen 结尾，重音落在 -teen 上。,ten|/ten/|num.|十; eleven|/ɪ'levn/|num.|十一; twelve|/twelv/|num.|十二; thirteen|/ˌθɜː'tiːn/|num.|十三; fourteen|/ˌfɔː'tiːn/|num.|十四; fifteen|/ˌfɪf'tiːn/|num.|十五; sixteen|/ˌsɪk'stiːn/|num.|十六,sixteen candles|十六根蜡烛; for the party|为派对,今日回读：请重新朗读背诵第 50、49、47、44、36、21 天的句子。自然重现旧词 candle、on、are、the；数数口号式句子方便孩子拍着手跟读。,"351,352,353,354,355,356,357"
52,"Seventeen, eighteen, nineteen, twenty, thirty, forty, fifty gifts — Harry's friends are so kind!",十七、十八、十九、二十、三十、四十、五十份礼物——哈利的朋友们真是太好了！,整十数 twenty、thirty、forty、fifty 以 -ty 结尾；注意 fourteen 里有 u，而 forty 里没有 u，别写混。,seventeen|/ˌsevn'tiːn/|num.|十七; eighteen|/ˌeɪ'tiːn/|num.|十八; nineteen|/ˌnaɪn'tiːn/|num.|十九; twenty|/'twenti/|num.|二十; thirty|/'θɜːti/|num.|三十; forty|/'fɔːti/|num.|四十; fifty|/'fɪfti/|num.|五十,fifty gifts|五十份礼物; so kind|真友善,今日回读：请重新朗读背诵第 51、50、48、45、37、22 天的句子。自然重现旧词 gift、friend、kind、so；接着第 51 天的礼物场景继续数数。,"358,359,360,361,362,363,364"
53,"Sixty, seventy, eighty, ninety, a hundred gifts, a thousand candles — Harry is one in a million!",六十、七十、八十、九十、一百份礼物，一千根蜡烛——哈利真是万里挑一的幸运儿！,hundred、thousand、million 前面有 a 或具体数字时用单数，不加 s。one in a million 是夸人的惯用语，意思是“万里挑一”。,sixty|/'sɪksti/|num.|六十; seventy|/'sevnti/|num.|七十; eighty|/'eɪti/|num.|八十; ninety|/'naɪnti/|num.|九十; hundred|/'hʌndrəd/|num.|百; thousand|/'θaʊznd/|num.|千; million|/'mɪljən/|num.|百万,a hundred gifts|一百份礼物; one in a million|万里挑一,今日回读：请重新朗读背诵第 52、51、49、46、38、23 天的句子。自然重现旧词 gift、candle、one、in；数数升级到大数，孩子感受数字的气势。,"365,366,367,368,369,370,371"
54,"Seventh, sixth, fifth, fourth, third, second, first — Harry flies to the front!",第七、第六、第五、第四、第三、第二、第一——哈利一路反超，飞到了最前面！,序数词表示“第几”：first、second、third 是特殊变化，fourth 起大多在基数词后加 -th（fifth 变化特殊）。比赛报幕常用序数词报名次。,first|/fɜːst/|num.|第一; second|/'sekənd/|num.|第二; third|/θɜːd/|num.|第三; fourth|/fɔːθ/|num.|第四; fifth|/fɪfθ/|num.|第五; sixth|/sɪksθ/|num.|第六; seventh|/'sevnθ/|num.|第七,fly to the front|飞到最前面,今日回读：请重新朗读背诵第 53、52、50、47、39、24 天的句子。自然重现旧词 fly（三单 flies）、front；倒计时式句子呼应飞行比赛画面。,"372,373,374,375,376,377,378"
55,"Dumbledore reads the names on the gifts: eighth, ninth, tenth, eleventh, twelfth, thirteenth, fourteenth — every child gets a gift!",邓布利多念出礼物上的名字：第八、第九、第十、第十一、第十二、第十三、第十四——每个孩子都得到一份礼物！,序数词拼写要特别记：eighth（eight 只加 h）、ninth（去 e）、twelfth（ve 变 f 再加 th）；reads、gets 是第三人称单数。,eighth|/eɪtθ/|num.|第八; ninth|/naɪnθ/|num.|第九; tenth|/tenθ/|num.|第十; eleventh|/ɪ'levnθ/|num.|第十一; twelfth|/twelfθ/|num.|第十二; thirteenth|/ˌθɜː'tiːnθ/|num.|第十三; fourteenth|/ˌfɔː'tiːnθ/|num.|第十四,read the names|念名字; get a gift|得到一份礼物,今日回读：请重新朗读背诵第 54、53、51、48、40、25 天的句子。自然重现旧词 read、name、every、child、gift；比赛颁奖延续第 54 天的故事。,"379,380,381,382,383,384,385"
56,"Hermione writes them down: fifteenth, sixteenth, seventeenth, eighteenth, nineteenth, twentieth — and the thirtieth gift is for Hagrid!",赫敏把它们记下来：第十五、第十六、第十七、第十八、第十九、第二十——第三十份礼物是给海格的！,twentieth、thirtieth 由 twenty、thirty 把 y 变 i 再加 -eth；说“第几十几”时先整十后个位，如 twenty-first。,fifteenth|/ˌfɪf'tiːnθ/|num.|第十五; sixteenth|/ˌsɪk'stiːnθ/|num.|第十六; seventeenth|/ˌsevn'tiːnθ/|num.|第十七; eighteenth|/ˌeɪ'tiːnθ/|num.|第十八; nineteenth|/ˌnaɪn'tiːnθ/|num.|第十九; twentieth|/'twentiəθ/|num.|第二十; thirtieth|/'θɜːtiəθ/|num.|第三十,write down|写下来; the thirtieth gift|第三十份礼物,今日回读：请重新朗读背诵第 55、54、52、49、41、26 天的句子。自然重现旧词 write、them、down；海格从“第 30 名”改成“第三十份礼物送给他”，不再跟孩子们一起排名。,"386,387,388,389,390,391,392"
57,"The fortieth, fiftieth, sixtieth, seventieth, eightieth, ninetieth day — today is the hundredth day at Hogwarts!",第四十天、第五十天、第六十天、第七十天、第八十天、第九十天——今天是在霍格沃茨的第一百天！,整十序数词都把 -ty 变成 -tieth；hundredth 表示“第一百”。序数词前通常加 the，如 the hundredth day。,fortieth|/'fɔːtiəθ/|num.|第四十; fiftieth|/'fɪftiəθ/|num.|第五十; sixtieth|/'sɪkstiəθ/|num.|第六十; seventieth|/'sevntiəθ/|num.|第七十; eightieth|/'eɪtiəθ/|num.|第八十; ninetieth|/'naɪntiəθ/|num.|第九十; hundredth|/'hʌndrədθ/|num.|第一百,the hundredth day|第一百天,今日回读：请重新朗读背诵第 56、55、53、50、42、27 天的句子。自然重现旧词 today、day、at；入学一百天纪念日，为后面的毕业庆祝做铺垫。,"393,394,395,396,397,398,399"
58,"When is the party — in January, February, March, April or May? Harry asks the question for the thousandth and millionth time!",聚会在什么时候——一月、二月、三月、四月还是五月？哈利都问了一千次、一百万次这个问题啦！,when 引导特殊疑问句问时间；月份是专有名词，首字母大写，前面用介词 in。for the + 序数词 + time 表示“第几次”。,thousandth|/'θaʊzndθ/|num.|第一千; millionth|/'mɪljənθ/|num.|第一百万; January|/'dʒænjuəri/|n.|一月; February|/'februəri/|n.|二月; March|/mɑːtʃ/|n.|三月; April|/'eɪprəl/|n.|四月; May|/meɪ/|n.|五月,in January|在一月; for the thousandth time|第一千次,今日回读：请重新朗读背诵第 57、56、54、51、43、28 天的句子。自然重现旧词 when、party、ask、time；用夸张的“第一百万次”写出孩子的期待心情。,"400,401,402,403,404,405,406"
59,"Is it in June, July, August, September, October, November or December? Hermione says: the party is in July!",是在六月、七月、八月、九月、十月、十一月还是十二月？赫敏说：聚会在七月！,选择疑问句用 or 连接选项，朗读时先升调后降调；in July 表示“在七月”，月份前不加 the。,June|/dʒuːn/|n.|六月; July|/dʒu'laɪ/|n.|七月; August|/'ɔːɡəst/|n.|八月; September|/sep'tembə(r)/|n.|九月; October|/ɒk'təʊbə(r)/|n.|十月; November|/nəʊ'vembə(r)/|n.|十一月; December|/dɪ'sembə(r)/|n.|十二月,in July|在七月,今日回读：请重新朗读背诵第 58、57、55、52、44、29 天的句子。自然重现旧词 say、party、it、in；呼应第 58 天的问题，揭晓答案就在七月。,"407,408,409,410,411,412,413"
60,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday — Dumbledore and all the students sing and dance every day!",星期一、星期二、星期三、星期四、星期五、星期六、星期天——邓布利多和全校学生每天唱歌跳舞，欢庆学年结束！,星期首字母大写；“在星期几”用介词 on，如 on Monday。sing and dance 是并列动词，主语是复数概念，动词用原形。,Monday|/'mʌndeɪ; -di/|n.|星期一; Tuesday|/'tjuːzdeɪ; -di/|n.|星期二; Wednesday|/'wenzdeɪ; -di/|n.|星期三; Thursday|/'θɜːzdeɪ; -di/|n.|星期四; Friday|/'fraɪdeɪ; -di/|n.|星期五; Saturday|/'sætədeɪ; -di/|n.|星期六; Sunday|/'sʌndeɪ; -di/|n.|星期天,every day|每天; sing and dance|唱歌跳舞; on Monday|在星期一,今日回读：请重新朗读背诵第 59、58、56、53、45、30 天的句子。大结局句：全校师生一起庆祝。重现旧词 every、day、school、sing、dance、all、and；鼓励孩子回读全册 60 句。重现旧词 every、day、sing、dance、all、and；鼓励孩子回读全册 60 句。,"414,415,416,417,418,419,420"
