单词,音标,词性,中文
game,/geim/,n,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味"
garage,/gә'rɑ:ʒ. 'gærɑ:ʒ/,n,"n. 车库, 汽车修理厂, 机库"
garden,/'gɑ:dn/,n,"n. 花园, 果园, 菜园"
gas,/gæs/,n,"n. 气体, 汽油, 瓦斯"
gate,/geit/,n,"n. 门, 牌楼, 大门, 通道, 闸"
get,/get/,v,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上"
get fit,,v,健身
get off,,phr v,"下来, 脱下, 出发, 动身, 开始, 被容忍"
get on,,phr v,"生活, 融洽相处, 进展, 穿上, 上去, 使前进"
get up,,phr v,"(使)起床, (使)起立, (使)爬上"
girl,/gә:l/,n,"n. 女孩, 少女, 女佣"
give,/giv/,v,"n. 弹性, 适应性"
glad,/glæd/,adj,"a. 高兴的, 喜欢的, 情愿的"
glass,/glɑ:s/,n & adj,"n. 玻璃, 玻璃杯, 透镜"
glasses,/'glɑ:siz/,n pl,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
go,/gou/,v,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下"
go out,,phr v,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
golf,/gɒlf/,n,n. 高尔夫球
gold,/gәuld/,n & adj,"n. 黄金, 钱财, 金块, 金色, 宝贵"
good,/gud/,adj,"n. 善行, 好处, 利益"
goodbye,/gud'bai/,exclam,interj. 再见
gram(me),/græm/,n,"n. 克, 绿豆, 鹰嘴豆"
grandchild,/'^rændtʃaild/,n,"n. 孙, 外孙女, 外孙, 孙女, 孙子"
grand(d)ad,/'^rændæd/,n,"n. 爷爷, 老太爷, 外公"
granddaughter,/'^rændɔ:tә(r)/,n,"n. 孙女, 外孙女"
grandfather,/'grændfɑ:ðә/,n,"n. 祖父, 始祖"
grandma,/'grændmɑ:/,n,"n. 奶奶, 外婆"
grandmother,/'grændmʌðә/,n,"n. 祖母, 女祖先"
grandpa,"/'^rænpɑ:, '^rændpɑ:/",n,"爷爷, 老太爷, 外公"
grandparent,/'grændperәnt/,n,n. 祖父母
grandson,/'grændsʌn/,n,"n. 孙子, 外孙"
grape,/greip/,n,"n. 葡萄, 葡萄树"
grass,/græs/,n,"n. 草, 草原, 牧场"
great,/greit/,adj,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的"
green,/gri:n/,adj,"n. 绿色, 绿色颜料"
grey,/grei/,adj,n. 灰色
grill,/gril/,v,"n. 烤架, 铁格子, 烤肉"
grilled,/grild/,adj,"a. 烤的, 炙过的, 有格子的"
group,/gru:p/,n,"n. 团体, 组, 团, 群"
grow,/grәu/,v,"vt. 种植, 使长满"
grow up,,phr v,"成熟, 成年, 发展, 逐渐形成"
guest,/gest/,n,"n. 客人, 来宾, 旅客"
guest-house,/ɡest haus/,n,"n. 高级寄宿舍, 宾馆, 招待所"
guide,/gaid/,n,"n. 引导者, 导游, 指南, 路标"
guidebook,/'gaidbuk/,n,"n. 指南, 手册, 要览"
guitar,/gi'tɑ:/,n,n. 吉他
guy,/gai/,n,"n. 家伙, 支索"
hair,/hєә/,n,"n. 头发, 毛发, 些微"
hairdresser,/'hєәdresә/,n,"n. 美发师, 理发师"
hairdryer,/ˈheədraɪə(r)/,n,n. （吹干头发的）吹风机
half,/hɑ:f/,n & pron,"n. 一半, 半场, 不完全"
hall,/hɒ:l/,n,"n. 门厅, 走廊, 会堂"
hallo/hello!,/hә'lәu/,exclam,"interj. 嘿, 喂, 哈罗"
hand,/hænd/,n,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手"
happen,/'hæpәn/,v,"vi. 发生, 发生, 恰巧"
happy,/'hæpi/,adj,"a. 快乐的, 幸福的, 愉快的, 恰当的"
hard,/hɑ:d/,adj & adv,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的"
the homework was hard,,adj,作业很辛苦
to work hard,,adv,努力工作
hard wood,,adj,硬木
hat,/hæt/,n,n. 帽子
hate,/heit/,v,"n. 憎恨, 恨, 厌恶"
have,/hæv/,v,"vt. 有, 怀有, 拿, 进行"
have got,/hæv gɔt/,v,拥有
have to,/ˈhæv tə/,v,"不得不, 只好; 只得; 必须; 不得已"
he,/hi:/,pron,pron. 他
head,/hed/,n,"n. 头, 头脑, 领袖, 脑袋, 最前的部分"
health,/'helθ/,n,"n. 健康, 卫生, 蓬勃, 健康状态"
healthy,/'helθi/,adj,"a. 健康的, 有益健康的, 卫生的"
hear,/hiә/,v,"vt. 听到, 倾听, 听说, 审理"
heart,/hɑ:t/,n,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿"
heating,/'hi:tiŋ/,n,"n. 加热, 供热, 暖气设备, 供暖系统, 暖气装置"
heavy,/'hevi/,adj,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的"
helicopter,/'helikɒptә/,n,n. 直升机
help,/help/,v,"n. 帮忙, 帮助者, 补救办法, 有益的东西"
her,/hә:/,det & pron,"pron. 她的, 她"
herself,/hә:'self/,pron,"pron. 她自己, 她亲自"
here,/hiә/,adv,"adv. 在这里, 此时, 这里"
hers,/hә:z/,pron,pron. 她的
high,/hai/,adj,"n. 高度, 高处"
hill,/hil/,n,"n. 小山, 丘陵, 小土堆"
him,/him/,pron,pron. 他
himself,/him'self/,pron,"pron. 他自己, 他亲自"
hip hop,/hip hɔp/,n,n. 希普霍普
his,/hiz/,det & pron,pron. 他的
hit,/hit/,v,"n. 打击, 打, 冲撞, 讽刺"
hobby,/'hɒbi/,n,"n. 嗜好, 癖好, 爱好"
hockey,/'hɒki/,n,"n. 冰球, 曲棍球"
holiday(s),/'hɒlәdi/,n,"n. 假日, 假期, 节日"
home,/hәum/,n & adv,"n. 家, 避难所, 故乡"
homework,/'hәumwә:k/,n,"n. 家庭作业, 家里做的工作"
hope,/hәup/,v,"n. 希望, 信心, 期待"
horse,/hɒ:s/,n,"n. 马, 骑兵, 脚架"
hospital,/'hɒspitәl/,n,n. 医院
hot,/hɒt/,adj,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的"
hotel,/hәu'tel/,n,"n. 旅馆, 客栈"
hour,/auә/,n,"n. 小时, 钟头, 时间, ...点钟, 课时"
house,/haus/,n,"n. 房子, 住宅, 机构, 议院, 家族, 家庭"
how,/hau/,adv,"adv. 如何, 怎样, 多少, 多么"
hungry,/'hʌŋgi/,adj,"a. 饥饿的, 荒年的, 渴望的, 不毛的"
hurry,/'hʌri/,v,"n. 匆忙, 急忙, 急促"
hurt,/hә:t/,v,"n. 伤害, 创伤, 损害"
husband,/'hʌzbәnd/,n,"n. 丈夫, 管理人, 节俭的人"
I,/ai/,pron,pron. 我
ice,/ais/,n,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂"
ice cream,,n,冰淇淋
ice skating,/ais ˈskeɪtɪŋ/,n,滑冰
idea,/ai'diә/,n,"n. 主意, 办法, 理想, 思想, 概念, 意见"
if,/if/,conj,"conj. 如果, 是否, 无论何时, 假设, 即使"
ill,/il/,adj,"n. 疾病, 坏事, 罪恶, 灾难"
immediately,/i'mi:diәtli/,adv,"adv. 直接地, 立刻, 立即"
important,/im'pɒ:tәnt/,adj,"a. 重要的, 有地位的, 大量的, 显要的, 自负的"
impossible,/im'pɒsәbl/,adj,"a. 不可能的, 难以置信的, 令人无法忍受的"
improve,/im'pru:v/,v,"vt. 改良, 提高...的价值, 改善, 利用"
in,/in/,adv & prep,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着"
include,/in'klu:d/,v,"vt. 包括, 把...算入, 包住"
indoor,/'indɒ:/,adj,"a. 户内的, 室内的"
indoors,/'in'dɒ:z/,adv,adv. 在户内
information,/.infә'meiʃәn/,n,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉"
in front of,,prep phr,在...前面
insect,/'insekt/,n,"n. 昆虫, 卑鄙的人"
inside,/'in'said/,adv & prep,"n. 内部, 内脏, 内幕"
instead,/in'sted/,adv,"adv. 作为替代, 反而"
instead of,,prep phr,代替
instructions,,n pl,n. 指令；说明（instruction的复数形式）
instrument,/'instrumәnt/,n,"n. 工具, 手段, 仪器"
insurance,/in'ʃurәns/,n,"n. 保险, 保险业, 保险费"
interested,/'intristid/,adj,a. 感兴趣的
interesting,/'intristiŋ/,adj,a. 有趣的
international,/.intә'næʃәnәl/,adj,a. 国际的
internet,/'intәnet/,n,"[计] 因特网, 国际互连网, 网际网络, 互连网络, 广域网"
into,/'intu:/,prep,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
invite,/in'vait/,v,"vt. 邀请, 请求, 引起, 招致"
island,/'ailәnd/,n,"n. 岛, 岛屿, 孤立地区, 安全岛"
it,/it/,pron,pron. 它
its,/its/,det,pron. 它的
itself,/it'self/,pron,"pron. 它本身, 它自己"
jacket,/'dʒækit/,n,"n. 夹克, 外套, 护套"
jam,/dʒæm/,n,"n. 果酱, 拥塞之物, 堵塞, 困境"
jeans,/dʒi:nz/,n pl,"n. 工装裤, 牛仔裤"
job,/dʒɒb/,n,"n. 工作, 零活, 职业, 事情"
join,/dʒɒin/,v,"vi. 参加, 结合, 加入"
journalist,/'dʒә:nәlist/,n,"n. 新闻记者, 从事新闻杂志业的人"
journey,/'dʒә:ni/,n,"n. 旅程, 旅行, 行程"
juice,/dʒu:s/,n,"n. 汁, 活力, 体液"
jump,/dʒʌmp/,v,"n. 跳跃, 跳动, 暴涨, 惊跳"
just,/dʒʌst/,adv,"a. 正直的, 合理的, 正确的, 应得的"
keep,/ki:p/,v,"n. 生计, 维持, 保持"
key,/ki:/,n,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁"
keyboard,/'ki:bɒ:d/,n,n. 键盘
kilo(gram[me]) / kg,,n,公斤（克[我] ）/公斤
kilometre / km,/'kilәjmi:tә(r)/,n,"n. 公里, 千米"
kind,/kaind/,adj & n,"n. 种类, 性质, 方式"
king,/kiŋ/,n,"n. 国王, 君主"
kitchen,/'kitʃin/,n,"n. 厨房, 全套炊具"
kite,/kait/,n,"n. 风筝, 筝帆, 空头支票, 骗子"
knife,/naif/,n,"n. 小刀, 匕首"
know,/nәu/,v,"v. 知道, 了解, 认识, 确信"
lake,/leik/,n,"n. 湖, 池, 色淀"
lamp,/læmp/,n,n. 灯
language,/'læŋgwidʒ/,n,"n. 语言, 文字, 措辞"
laptop (computer),,n,[计] 膝上型的
large,/lɑ:dʒ/,adj,"a. 大的, 大量的, 宽大的, 广博的"
last,/lɑ:st/,adj & adv,"a. 最后的, 末尾的, 最近的"
late,/leit/,adj & adv,"a. 迟的, 晚的, 已故的"
later,/'leitә/,adv,"adv. 以后, 随后"
laugh,/lɑ:f/,v,"n. 笑, 笑声"
learn,/lә:n/,v,vt. 学习；认识到；得知
leather,/'leðә/,n & adj,"n. 皮革, 皮制品, 马镫的皮带"
leave,/li:v/,v,"n. 许可, 告别, 请假, 休假"
left,/left/,"n, adj & adv","a. 左边的, 左倾的, 左侧的, 左派的"
Go to the left.,,n,向左转。
left hand,,adj,左手
Turn left.,,adv,左转。
leg,/leg/,n,"n. 腿, 假腿, 路程"
lemon,/'lemәn/,n,"n. 柠檬, 柠檬树, 柠檬色"
lemonade,/.lemә'neid/,n,n. 柠檬水
less,/les/,"adj, det, pron & adv","n. 较少, 较小"
lesson,/'lesn/,n,"n. 课, 课业, 教训"
let,/let/,v,"vt. 让, 假设, 出租, 排放, 妨碍"
letter,/'letә/,n,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人"
level,/'levl/,n,"n. 水平, 水准, 平地"
library,/'laibrәri/,n,"n. 图书馆, 藏书, 库"
licence,/'laisns/,n,"n. 执照, 许可证, 特许"
lie down,,phr v,躺下
life,/laif/,n,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑"
lift,/lift/,n,"n. 举起, 帮助, 昂扬, 电梯"
light,/lait/,n & adj,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光"
like,/laik/,"v, prep & adv","a. 相似的, 同样的"
I’d like a drink.,,v,我想喝一杯。
It’s like an orange but bigger.,,prep,它就像一个橙子，但更大。
What’s the weather like?,,adv,天气怎么样？
line,/lain/,n,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系"
lion,/'laiәn/,n,"n. 狮子, 狮子(星)座, 国际狮子会会员"
listen,/'lisn/,v,"vi. 听, 倾听, 听从"
litre,/li:tә(r)/,n,"n. 升, 公升"
little,/'litl/,"adj, det & pron","n. 一点点, 少许, 一会儿, 短时间"
live,/liv.laiv/,v,"a. 活的, 生动的, 精力充沛的, 实况转播的"
living room,,n,"客厅, 起居室"
long,/lɒŋ/,adj,"a. 长的, 长久的, 冗长的, 做多头的"
look,/luk/,v,"n. 一看, 神色, 样子, 面容"
look after,,phr v,"目送, 照顾, 关心"
look at,,phr v,"看, 考虑, 着眼于"
look for,,phr v,"寻找, 期待"
look out,,phr v,"面朝, 留神, 找出"
lorry,/'lɒri/,n,"n. 卡车, 货车"
lose,/lu:z/,v,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于"
lot,/lɒt/,n,"n. 运气, 签, 抽签, 份额, 许多, 一堆"
lots,/lɔts/,n,"n. 大量, 许多；一堆；命运（lot的复数）"
loud,/laud/,adj,"a. 大声的, 不断的, 喧吵的"
love,/lʌv/,n & v,"n. 爱, 恋爱, 爱情, 爱好, 性爱"
lovely,/'lʌvli/,adj,"a. 可爱的, 有趣的"
low,/lәu/,adj,"n. 低点, 低价, 低, 牛叫声"
luck,/lʌk/,n,"n. 运气, 幸运, 好运, 侥幸"
lucky,/'lʌki/,adj,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
luggage,/'lʌgidʒ/,n,"n. 行李, 皮箱"
lunch,/lʌntʃ/,n,n. 午餐
machine,/mә'ʃi:n/,n,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人"
magazine,/.mægә'zi:n/,n,"n. 杂志, 仓库, 弹盒, 胶卷盒"
make,/meik/,v,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行"
make up,,n,"弥补, 赔偿, 配制, 包装, 编辑, 虚构, 缝制, 组成, 和解, 结算, 整理, 化装"
man,/mæn/,n,"n. 男人, 人类, 人"
manager,/'mænidʒә/,n,"n. 经理, 管理员, 管理器"
many,/'meni/,"det, adj & prom","n. 多数, 多数人"
map,/mæp/,n,"n. 地图, 天体图, 映像"
market,/'mɑ:kit/,n,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路"
married,/'mærid/,adj,"a. 已婚的, 婚姻的"
match,/mætʃ/,n,"n. 比赛, 火柴, 对手"
matter,/'mætә/,v,"n. 事件, 物质, 原因, 素材, 实体, 重要"
maybe,/'meibi:/,adv,"adv. 也许, 大概"
me,/mi:/,pron,pron. 我
meal,/mi:l/,n,"n. 一餐, 膳食, 粗粉"
mean,/mi:n/,v,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的"
meat,/mi:t/,n,"n. 肉, 餐, 食物"
mechanic,/mi'kænik/,n,"n. 机械工, 技工"
medicine,/'medisin/,n,"n. 药, 医学, 内科"
meet,/mi:t/,v,"n. 会, 集会"
meeting,/'mi:tiŋ/,n,"n. 会议, 会面"
member,/'membә/,n,"n. 成员, 会员"
menu,/'menju:/,n,"n. 菜单, (功能)选择单"
message,/'mesidʒ/,n,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词"
metre,/'mi:tә/,n,"n. 公尺, 格律, 韵律"
middle,/'midl/,n,"n. 中央, 中间, 腰部"
midnight,/'midnait/,n,"n. 午夜, 子夜, 半夜"
mile,/mail/,n,"n. 英里, 很大距离"
milk,/milk/,n,"n. 奶, 乳状物"
million,/'miljәn/,n,"n. 百万, 无数"
mind,/maind/,v,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意"
mine,/main/,pron,"n. 矿, 矿藏, 地雷"
mineral water,/ˈminərəl ˈwɔ:tə/,n,"na. 矿泉水, 矿质水"
minute,/'minit. mai'nju:t/,n,"n. 分, 分钟, 片刻, 备忘录, 笔记"
mirror,/'mirә/,n,"n. 镜子, 写真, 典范"
Miss,/mis/,n,"n. 失误, 避免, 失败, 小姐"
miss,/mis/,v,"n. 失误, 避免, 失败, 小姐"
mistake,/mis'teik/,n,"n. 错误, 误会"
mobile (phone),/'mәubil/,n,"a. 移动的, 易变的, 机动的"
modern,/'mɒdәn/,adj,"n. 现代人, 有思想的人"
moment,/'mәumәnt/,n,"n. 片刻, 瞬间, 重要, 阶段, 力矩"
money,/'mʌni/,n,"n. 金钱, 一笔款, 财富, 货币, 金额"
monkey,/'mʌŋki/,n,"n. 猴子, 猿, 打桩锤"
month,/mʌnθ/,n,n. 月
monthly,/'mʌnθli/,adj & adv,n. 月刊
moon,/mu:n/,n,"n. 月亮, 月球, 月光"
more,/mɒ:/,"adj, det, pron & adv",n. 更多
morning,/'mɒ:niŋ/,n,"n. 早晨, 早上, 初期"
most,/mәust/,"adj, det, pron & adv","n. 最多, 最大"
mother,/'mʌðә/,n,"n. 母亲, 修女院长"
motorbike,/'mәjtәbaik/,n,"n. 机动脚踏两用车, 摩托车"
motorway,/'mәutәwei/,n,n. 高速公路
mountain,/'mauntin/,n,"n. 山, 山脉, 大堆"
mouse,/maus/,n,"n. 老鼠, 胆小羞怯的人, 鼠标"
mouth,/mauθ/,n,"n. 嘴, 口, 口腔, 口状物"
move,/mu:v/,v,"n. 移动, 迁居, 步骤"
MP3 player,,n,MP3 播放器
Mr,/'mistә(r)/,n,先生
Mrs,/'misiz/,n,太太
Ms,/miz/,n,美国微软公司
much,/mʌtʃ/,"adj, det, pron & adv","n. 大量, 许多, 重要的事"
mum(my),/mʌm/,n,"n. 菊花, 沉默"
museum,/mju:'ziәm/,n,n. 博物馆
music,/'mju:zik/,n,"n. 音乐, 乐曲"
musician,/mju:'ziʃәn/,n,"n. 音乐家, 乐师, 作曲家"
must,/mʌst/,v,"n. 必须, 未发酵葡萄汁, 绝对必要的事物"
my,/mai/,det,pron. 我的
myself,/mai'self/,pron,"pron. 我自己, 我亲自, 我独自"
name,/neim/,n,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名"
national,/'næʃәnәl/,adj,"a. 国家的, 国立的, 全国性的, 民族的"
nationality,/.næʃә'nælәti/,n,"n. 国籍, 国家, 民族性"
nature,/'neitʃә/,n,"n. 自然, 大自然, 本性, 性格, 性质"
near,/niә/,adv & prep,"a. 近的, 近亲的, 近似的"
nearly,/'niәli/,adv,"adv. 几乎, 密切地"
neck,/nek/,n,"n. 脖子, 衣领, 颈"
need,/ni:d/,v,"n. 需要, 必须, 缺乏"
neighbour,/'neibә/,n,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人"
never,/'nevә/,adv,"adv. 从不, 决不, 不曾"
new,/nju:/,adj,"a. 新的, 陌生的, 最近的, 不熟悉的"
news,/nju:z/,n,"n. 新闻, 消息, 报导"
newsagent,/'nju:zeidʒәnt/,n,n. 报刊经销商
newspaper,/'nju:z.peipә/,n,n. 报纸
next,/'nekst/,adj & adv,n. 下一个
next to,,prep,几乎
nice,/nais/,adj,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
night,/nait/,n,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作"
no,/nәu/,det & exclam,"n. 不, 拒绝, 否决票"
nobody,/'nәubɒdi/,pron,"n. 小人物, 无名小卒"
no one,/nəu wʌn/,pron,n. 没有人
noisy,/'nɒizi/,adj,"a. 嘈杂的, 喧闹的"
noon,/nu:n/,n,"n. 正午, 中午, 全盛期"
none,/nʌn/,pron,"adv. 一点也不, 毫不"
normal,/'nɒ:ml/,adj,"n. 常态, 标准, 正常, 普通"
north,/nɒ:θ/,"n, adj & adv","n. 北方, 北"
nose,/nәuz/,n,"n. 鼻子, 突出部分, 嗅觉"
not,/nɒt/,adv,"adv. 不, 非, 未"
note,/nәut/,n & v,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会"
nothing,/'nʌθiŋ/,pron,"n. 无, 不关紧要之事, 零"
now,/nau/,adv,"adv. 现在, 刚才, 目前"
nowhere,/'nәuhwєә/,adv,"adv. 无处, 到处都无"
number,/'nʌmbә/,n,"n. 数, 数字, 数目, 号码"
nurse,/nә:s/,n,"n. 护士, 保姆, 奶妈"
occupation,/.ɒkju'peiʃәn/,n,"n. 职业, 占有, 占有期, 占领, 占领军"
o'clock,/ә'klɔk/,adv,"n. ...点钟, 钟头"
of,/ɒv/,prep,"prep. 的, 属于"
of course (not),,adv,当然
off,/ɒf/,adv,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的"
office,/'ɒfis/,n,"n. 办公室, 部, 公职, 职责"
often,/'ɒ:fn/,adv,"adv. 时常, 常常"
oil,/ɒil/,n,"n. 油, 石油, 油画颜料"
OK/okay,/'әu'kei/,exclam,"a. 好, 不错, 可以"
old,/әuld/,adj,"n. 以前, 往昔"
omelette,/'ɒmlit/,n,"n. 煎蛋卷, 炒蛋"
on,/ɒn/,prep & adv,prep. 在...之上
once,/wʌns/,adv,"adv. 一次, 曾经, 一旦"
one,/wʌn/,"pron, det & num",n. 一(个)
onion,/'ʌnjәn/,n,n. 洋葱
online,,adj & adv,[计] 联机
only,/'әunli/,adv & adj,"a. 唯一的, 仅有的, 最佳的"
open,/'әupәn/,adj & v,"n. 公开, 户外, 空旷"
opera,/'ɒpәrә/,n,n. 歌剧
opposite,/'ɒpәzit/,prep,"a. 相对的, 相反的, 对面的"
or,/ɒ:/,conj,"conj. 或, 或者"
orange,/'ɒ:rindʒ/,adj & n,"n. 柑橘, 桔子, 橘色"
order,/'ɒ:dә/,n,"n. 次序, 规则, 命令"
other,/'ʌðә/,det,"a. 其他的, 另外的, 从前的"
our,/'auә/,det,pron. 我们的
ours,/'auәz/,pron,pron. 我们的
ourselves,/.auә'selvz/,pron,pron. 我们自己
out,/aut/,adv,"a. 外面的, 熄灭的, 结束的"
outdoor,/'autdɒ:/,adj,"a. 户外的, 屋外的, 露天的"
outdoors,/'aut'dɒ:z/,adv,"n. 户外, 野外活动"
outside,/'aut'said/,prep & adv,"n. 外面, 外表, 外界"
over,/'әuvә/,prep & adv,"adv. 结束, 越过, 从头到尾"
over 60 people,,adv,超过60人
own,/әun/,adj,n. 自己的
to travel all over the world,,prep,环游世界
pack,/pæk/,v,"n. 包裹, 一伙, 一副, 背包, 包装"
page,/peidʒ/,n,"n. 页, 记录, 事件, 专栏, 男侍"
pain,/pein/,n,"n. 痛苦, 疼痛, 辛苦"
paint,/peint/,v & n,"n. 油漆, 颜料, 绘画作品, 涂漆"
pair,/pєә/,n,"n. 一双, 一对, 一副"
paper,/'peipә/,n & adj,"n. 纸, 文件, 文章, 报纸, 证券, 证件"
pardon,/'pɑ:dn/,exclam,"n. 原谅, 赦免"
parent,/'perәnt/,n,"n. 父母, 父母亲, 根源"
park,/pɑ:k/,n & v,"n. 公园, 停车处"
parrot,/'pærәt/,n,"n. 鹦鹉, 应声虫"
part,/pɑ:t/,n,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位"
party,/'pɑ:ti/,n,"n. 宴会, 党, 政党, 团体, 当事人, 聚会"
pass,/pæs/,v,"n. 经过, 要隘, 途径, 通行, 护照, 及格"
passenger,/'pæsindʒә/,n,"n. 乘客, 旅客"
passport,/'pæspɒ:t/,n,"n. 护照, 手段, 通行证"
past,/pɑ:st/,prep,"n. 过去, 昔时, 往事, 早年经历, 过去时"
pasta,/'pæstә/,n,n. 意大利面食
path,/pɑ:θ/,n,"n. 路径, 小路, 道路, 途径, 路线, 轨道"
pay,/pei/,v,"n. 薪资, 付款, 补偿"
pen,/pen/,n,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜"
pence,/pens/,n pl,"pl. (非正式)copper便士, (美)分, 分币"
pencil,/'pensl/,n,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束"
pencil case,,n,铅笔盒
pen-friend,,n,"n. 通信朋友, 笔友"
penny,/'peni/,n,"n. 便士, 一分, 小钱, 点滴"
people,/'pi:pl/,n pl,"n. 人, 人民, 民族, 平民"
pepper,/'pepә/,n,"n. 胡椒粉, 胡椒, 辣椒"
per,/pә:/,prep,"prep. 每一, 通过, 经, 按照"
perhaps,/pә'hæps/,adv,"adv. 也许, 大概"
person,/'pә:sn/,n,"n. 人, 人身, 人称"
pet,/pet/,n,"n. 宠物, 受宠爱的人, 宠坏的孩子, 不悦, 生气"
petrol,/'petrәl/,n,n. 汽油
petrol station,/ˈpetrəl ˈsteiʃən/,n,n. 加油站
pharmacy,/'fɑ:mәsi/,n,"n. 药房, 配药学, 制药业"
phone,/fәun/,v & n,"n. 电话, 受话器, 耳机"
photo(graph),/'fәutәu/,n,"n. 相片, 照片, 逼真的描绘"
photography,/fә'tɒgrәfi/,n,"n. 摄影, 摄影术"
piano,/pi'ɑ:nәu/,n,n. 钢琴
picnic,/'piknik/,n,"n. 野餐, 远足, 愉快的经历"
picture,/'piktʃә/,n,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维"
piece,/pi:s/,n,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量"
pillow,/'pilәu/,n,"n. 枕头, 靠垫, 枕状岩"
pilot,/'pailәt/,n,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人"
pink,/piŋk/,adj,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度"
pity,/'piti/,n,"n. 遗憾, 同情, 怜悯, 憾事, 可惜"
pizza,/'pi:tsә/,n,n. 比萨饼
place,/pleis/,n,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位"
plan,/plæn/,n & v,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图"
plane,/plein/,n,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位"
plant,/plænt. plɑ:nt/,n,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备"
plastic,/'plæstik/,n & adj,"n. 塑料, 可塑体, 可塑性物质"
plate,/pleit/,n,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)"
platform,/'plætfɒ:m/,n,"n. 站台, 月台, 讲台, 论坛, 平台"
play,/plei/,v & n,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本"
to play football,,v,踢足球
to play the guitar,,v,弹吉他
a play at the theatre,,n,剧院里的戏剧
playground,/'pleigraund/,n,"n. 运动场, 操场, 度假胜地, 活动场所"
pleasant,/'pleznt/,adj,"a. 愉快的, 可爱的, 活泼的, 亲切的"
please,/pli:z/,v & exclam,adv. 请
I’m very pleased for you.,,v,我为你感到非常高兴。
p.m.,,adv,"下午, 午后"
pocket,/'pɒkit/,n,"n. 口袋, 钱袋, 钱, 容器"
point,/pɒint/,v,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位"
police,/pә'li:s/,n,"n. 警察, 警察当局, 治安"
police car,,n,[法] 警察巡逻车
police officer,/pəˈli:s ˈɔfisə/,n,n. 警察
police station,,n,警察分局
